QUERY	SUBJECT	QUERY_LEN(1)	SUBJECT_LEN(1)	ALN_LEN(1)	IDENTITIES(1)	POSITIVES(1)	GAPS(1)	FRAME(1)	QUERY_LEN(2)	SUBJECT_LEN(2)	ALN_LEN(2)	IDENTITIES(2)	POSITIVES(2)	GAPS(2)	FRAME(2)	SCORE(1)	E-VALUE(1)	FRAGMENTS(1)	SCORE(2)	E-VALUE(2)	FRAGMENTS(2)
XLOC_000092	SpisGene21300	161	681	115	75	84	0	+3/+1	681	161	115	75	85	0	+1/+3	175	5e-38	2	172	2e-36	2
XLOC_000099	SpisGene22390	1742	1838	1658	1509	1578	0	+1/+1	1838	1742	1658	1509	1578	0	+1/+1	3829	0.0	5	3874	0.0	5
XLOC_000109	SpisGene4929	1510	1166	884	718	758	0	-1/-3	1166	1510	840	741	779	0	+1/+2	1582	0.0	6	1749	0.0	8
XLOC_000110	SpisGene4927	714	684	621	443	502	0	+1/+2	684	714	616	445	501	0	+2/+1	1050	0.0	7	1074	0.0	7
XLOC_000111	SpisGene4926	1509	990	710	578	629	0	+3/+3	990	1509	708	565	614	0	+1/+1	1421	0.0	3	1311	0.0	3
XLOC_000112	SpisGene4925	1495	1140	1121	959	1022	0	+3/+2	1140	1495	1125	974	1041	0	+2/+3	2401	0.0	5	2479	0.0	5
XLOC_000113	SpisGene14551	1050	651	560	484	520	0	+2/+1	651	1050	560	484	520	0	+1/+2	1181	0.0	4	1159	0.0	4
XLOC_000114	SpisGene14549	862	820	510	467	487	0	+3/+2	820	862	509	468	487	0	+2/+3	1060	0.0	3	1061	0.0	3
XLOC_000115	SpisGene14548	2068	825	705	535	578	0	+1/+1	825	2068	686	517	561	0	+2/+1	1243	0.0	13	1233	0.0	13
XLOC_000116	SpisGene14547	1368	1398	438	380	396	0	+2/+1	1398	1368	438	401	414	0	+3/+1	958	0.0	6	954	0.0	5
XLOC_000117	SpisGene14544	437	324	285	226	243	0	+1/+1	324	437	267	219	236	0	+2/+2	550	3e-138	4	540	4e-133	4
XLOC_000119	SpisGene4928	279	495	187	161	171	0	+3/+2	495	279	187	161	171	0	+2/+3	384	4e-100	2	370	8e-96	2
XLOC_000122	SpisGene14552	877	1205	210	164	177	0	-1/-3	1205	877	225	172	188	0	-1/-2	362	3e-101	3	376	5e-97	2
XLOC_000124	SpisGene14550	373	338	287	265	277	0	+3/+1	338	373	287	265	277	0	+1/+3	565	6e-161	1	565	6e-161	1
XLOC_000125	SpisGene14546	1478	1218	295	272	284	0	+1/+2	1218	1478	357	335	349	0	+1/+3	664	0.0	3	727	0.0	1
XLOC_000139	SpisGene21757	1078	1269	554	427	478	0	+1/+1	1269	1078	566	436	473	0	+1/+1	978	0.0	3	998	0.0	4
XLOC_000140	SpisGene21756	1363	731	529	438	480	0	+1/+1	731	1363	529	438	480	0	+1/+1	1050	0.0	2	1050	0.0	2
XLOC_000141	SpisGene18753	1031	232	214	165	177	0	-1/-1	232	1031	214	165	177	0	-1/-1	380	1e-92	3	380	3e-93	3
XLOC_000149	SpisGene21753	796	573	522	436	467	0	+3/+3	573	796	522	436	467	0	+3/+3	988	0.0	8	1006	0.0	8
XLOC_000150	SpisGene18754	604	769	338	285	308	0	+1/+3	769	604	333	280	302	0	+3/+1	775	0.0	3	758	0.0	3
XLOC_000152	SpisGene18755	291	541	251	203	221	0	+1/+2	541	291	251	203	221	0	+2/+1	518	1e-128	4	518	2e-128	4
XLOC_000160	SpisGene6627	303	674	120	62	84	0	-3/+1	674	303	120	62	84	0	+1/-3	184	1e-40	2	184	4e-40	2
XLOC_000185	SpisGene2415	1327	1116	1006	789	851	0	+3/+3	1116	1327	986	792	867	0	+3/+3	1839	0.0	7	1931	0.0	7
XLOC_000187	SpisGene2421	364	723	158	132	145	0	+3/+2	723	364	158	132	145	0	+2/+3	305	2e-76	2	343	2e-87	2
XLOC_000188	SpisGene2422	1158	916	411	323	359	0	+3/+2	916	1158	426	336	372	0	+2/+3	794	0.0	4	798	0.0	3
XLOC_000191	SpisGene2413	934	808	693	532	564	0	-3/-1	808	934	688	529	560	0	-1/-3	1204	0.0	5	1198	0.0	5
XLOC_000192	SpisGene2414	1278	1134	1075	795	893	0	+3/+1	1134	1278	1086	796	903	0	+1/+3	1923	0.0	12	1894	0.0	12
XLOC_000193	SpisGene2417	1410	1137	465	317	364	0	-3/+1	1137	1410	465	317	364	0	+1/-3	755	0.0	5	755	0.0	5
XLOC_000195	SpisGene2425	925	780	643	523	570	0	+3/+3	780	925	642	522	569	0	+3/+3	1268	0.0	5	1266	0.0	5
XLOC_000205	SpisGene17771	375	1186	203	102	144	0	+3/+1	1186	375	203	102	144	0	+1/+3	265	1e-58	3	265	4e-58	3
XLOC_000210	SpisGene5665	507	427	229	120	158	0	+1/+1	427	507	229	120	158	0	+1/+1	298	2e-66	3	298	2e-66	3
XLOC_000220	SpisGene827	842	477	265	184	212	0	-1/+3	477	842	250	173	199	0	+1/-2	453	3e-106	4	423	4e-106	3
XLOC_000221	SpisGene822	351	904	270	265	268	0	+2/+1	904	351	254	250	253	0	+1/+2	568	2e-155	2	574	6e-151	3
XLOC_000223	SpisGene820	195	902	112	84	92	0	+3/+2	902	195	112	84	92	0	+2/+3	197	3e-46	2	197	2e-45	2
XLOC_000225	SpisGene817	1341	855	504	465	475	0	+3/+2	855	1341	498	464	474	0	+1/+2	1075	0.0	3	1072	0.0	3
XLOC_000226	SpisGene815	1873	4100	1612	1187	1331	0	+1/+1	4100	1873	1768	1333	1482	0	+1/+1	2695	0.0	13	3011	0.0	14
XLOC_000232	SpisGene812	1499	2826	1362	1043	1159	0	+1/+2	2826	1499	1340	1002	1104	0	-3/-2	2425	0.0	18	2316	0.0	14
XLOC_000233	SpisGene810	1456	1323	1117	913	971	0	+3/+1	1323	1456	928	738	792	0	+1/+3	2105	0.0	12	1741	0.0	11
XLOC_000237	SpisGene808	404	771	395	307	342	0	-1/-2	771	404	395	307	342	0	-2/-1	723	0.0	4	723	0.0	4
XLOC_000238	SpisGene807	1365	1218	974	728	780	0	+1/+2	1218	1365	896	662	725	0	+3/+2	1607	0.0	18	1520	0.0	17
XLOC_000239	SpisGene5244	841	756	557	450	489	0	+1/+1	756	841	592	477	522	0	+2/+3	1140	0.0	8	1194	0.0	9
XLOC_000240	SpisGene829	1331	917	793	627	683	0	+3/+3	917	1331	726	570	623	0	+3/+1	1380	0.0	9	1321	0.0	8
XLOC_000241	SpisGene826	614	601	482	362	403	0	+3/+3	601	614	482	362	403	0	+3/+3	858	0.0	6	858	0.0	6
XLOC_000242	SpisGene825	640	326	326	287	306	0	+3/+1	326	640	326	287	306	0	+1/+3	736	0.0	1	736	0.0	1
XLOC_000243	SpisGene824	786	411	392	374	384	0	+2/+1	411	786	411	391	402	0	+1/+2	910	0.0	2	904	0.0	1
XLOC_000244	SpisGene821	720	588	363	316	340	0	+2/+3	588	720	367	306	333	0	+2/+3	789	0.0	5	757	0.0	4
XLOC_000245	SpisGene819	1313	1134	778	645	693	0	+2/+1	1134	1313	900	700	769	0	+1/+2	1572	0.0	6	1722	0.0	8
XLOC_000246	SpisGene818	2402	2376	1850	1297	1448	0	-3/-3	2376	2402	1950	1374	1528	0	-2/-1	2992	0.0	22	3135	0.0	25
XLOC_000247	SpisGene816	1579	395	198	141	165	0	+3/+2	395	1579	192	136	160	0	+2/+3	342	5e-78	3	332	1e-75	3
XLOC_000248	SpisGene814	819	2020	426	327	352	0	-1/-1	2020	819	389	338	356	0	+3/+3	746	0.0	1	766	0.0	2
XLOC_000249	SpisGene813	729	637	600	510	542	0	+1/+1	637	729	595	499	530	0	+3/+2	1105	0.0	3	1088	0.0	5
XLOC_000251	SpisGene806	1299	600	584	479	532	0	+1/+2	600	1299	579	475	529	0	+1/+3	1167	0.0	3	1150	0.0	3
XLOC_000271	SpisGene7020	440	284	280	235	248	0	+3/+3	284	440	254	219	228	0	+1/+2	546	1e-148	2	510	2e-144	1
XLOC_000272	SpisGene7021	776	297	293	241	266	0	+1/+1	297	776	298	245	271	0	+1/+1	599	6e-164	2	589	8e-162	2
XLOC_000274	SpisGene7024	676	414	249	216	229	0	-1/-3	414	676	246	220	232	0	+3/+1	493	2e-132	2	485	2e-130	2
XLOC_000275	SpisGene7022	804	1130	489	474	485	0	+2/+2	1130	804	489	474	485	0	+2/+2	1150	0.0	1	1150	0.0	1
XLOC_000288	SpisGene681	732	368	332	274	293	0	+2/+3	368	732	355	276	295	0	+2/+2	653	9e-169	4	601	6e-159	3
XLOC_000289	SpisGene680	671	592	338	304	320	0	+1/+1	592	671	324	296	309	0	+1/+1	718	0.0	2	693	0.0	2
XLOC_000290	SpisGene383	200	444	197	155	174	0	+1/+2	444	200	192	154	171	0	+2/+1	375	2e-86	4	343	2e-76	4
XLOC_000302	SpisGene16946	335	956	164	136	152	0	-3/+1	956	335	164	136	152	0	+1/-3	361	5e-92	2	332	1e-82	2
XLOC_000304	SpisGene3456	1723	959	903	789	825	0	+3/+3	959	1723	887	774	810	0	+1/+1	1831	0.0	3	1837	0.0	4
XLOC_000305	SpisGene3457	1290	505	458	425	438	0	+2/+1	505	1290	472	434	454	0	+2/+3	1001	0.0	2	1020	0.0	2
XLOC_000306	SpisGene3460	763	857	589	501	538	0	+2/+3	857	763	616	488	534	0	+2/+1	1166	0.0	5	1150	0.0	6
XLOC_000307	SpisGene3462	662	371	366	359	362	0	+1/+1	371	662	366	359	362	0	+1/+1	828	0.0	1	828	0.0	1
XLOC_000313	SpisGene3458	1310	787	230	216	225	0	+1/+1	787	1310	230	216	225	0	+1/+1	530	1e-133	3	530	7e-134	3
XLOC_000315	SpisGene3461	592	763	411	344	364	0	+3/+2	763	592	420	334	356	0	-2/-1	756	1e-170	9	763	5e-173	8
XLOC_000328	SpisGene382	1080	677	535	458	489	0	+1/+2	677	1080	535	458	489	0	+2/+1	1045	0.0	3	1049	0.0	3
XLOC_000329	SpisGene22692	764	774	272	142	200	0	-3/+1	774	764	264	136	193	0	+1/-3	351	9e-79	4	340	2e-75	4
XLOC_000331	SpisGene670	2010	838	623	521	570	0	+1/+3	838	2010	643	535	584	0	+1/+2	1212	0.0	9	1228	0.0	8
XLOC_000333	SpisGene662	213	147	150	127	131	0	+1/+2	147	213	146	125	130	0	+3/+2	282	6e-70	2	298	4e-81	1
XLOC_000334	SpisGene657	1651	1580	852	728	781	0	+1/+1	1580	1651	832	703	759	0	+1/+1	1691	0.0	7	1604	0.0	6
XLOC_000335	SpisGene655	443	306	275	241	257	0	+2/+3	306	443	265	235	251	0	+1/+3	641	7e-177	2	636	1e-169	3
XLOC_000337	SpisGene652	1857	441	199	155	167	0	+1/+1	441	1857	202	158	170	0	+1/+1	364	8e-78	4	370	4e-80	4
XLOC_000338	SpisGene647	1130	708	689	620	647	0	+2/+3	708	1130	689	620	647	0	+3/+2	1445	0.0	6	1445	0.0	6
XLOC_000342	SpisGene645	951	2630	793	638	717	0	+2/+1	2630	951	793	638	717	0	+1/+2	1530	0.0	2	1478	0.0	2
XLOC_000343	SpisGene5632	611	1000	387	207	269	0	-2/+1	1000	611	387	207	269	0	+1/-2	503	2e-126	3	503	3e-126	3
XLOC_000344	SpisGene378	1842	908	243	206	214	0	+3/+1	908	1842	256	217	226	0	+1/+3	504	2e-133	2	528	9e-141	2
XLOC_000345	SpisGene673	2375	1631	1033	859	903	0	-3/-2	1631	2375	972	889	917	0	+1/+2	1944	0.0	7	1966	0.0	9
XLOC_000346	SpisGene669	1760	383	375	347	361	0	+2/+1	383	1760	375	347	361	0	+1/+2	819	0.0	1	837	0.0	1
XLOC_000347	SpisGene665	1513	965	698	574	615	0	+1/+3	965	1513	720	569	616	0	+3/+1	1368	0.0	10	1336	0.0	10
XLOC_000349	SpisGene661	1129	742	608	477	520	0	+1/+1	742	1129	612	480	525	0	+2/+2	1261	0.0	5	1266	0.0	5
XLOC_000350	SpisGene660	1055	158	158	149	154	0	+3/+1	158	1055	158	131	137	0	-2/-1	338	9e-86	2	311	1e-78	2
XLOC_000351	SpisGene656	993	613	556	442	475	0	+2/+1	613	993	559	447	481	0	+1/+2	1081	0.0	2	1097	0.0	3
XLOC_000352	SpisGene654	1472	1287	1048	833	886	0	+1/+3	1287	1472	1141	931	997	0	+3/+1	1906	0.0	14	2157	0.0	13
XLOC_000355	SpisGene648	641	366	327	247	278	0	+1/+1	366	641	327	247	278	0	+1/+1	617	3e-155	4	617	2e-155	4
XLOC_000356	SpisGene646	1686	823	758	728	739	0	+3/+2	823	1686	749	738	743	0	+3/+1	1726	0.0	3	1732	0.0	4
XLOC_000358	SpisGene644	491	278	123	110	120	0	+1/+1	278	491	99	92	96	0	+2/+2	193	6e-49	1	186	7e-41	2
XLOC_000359	SpisGene643	901	1225	742	557	592	0	-3/-2	1225	901	735	536	574	0	-3/-2	1226	0.0	7	1174	0.0	7
XLOC_000376	SpisGene17561	2232	1137	787	679	735	0	+2/+3	1137	2232	787	679	733	0	+3/+2	1831	0.0	4	1807	0.0	4
XLOC_000394	SpisGene23126	464	1907	453	314	367	0	+2/+1	1907	464	436	309	356	0	+1/+2	760	0.0	2	748	0.0	3
XLOC_000409	SpisGene11288	187	187	130	124	125	0	+3/+1	187	187	130	124	125	0	+1/+3	299	4e-81	1	299	4e-81	1
XLOC_000411	SpisGene11285	294	1181	208	196	201	0	+3/+1	1181	294	198	162	168	0	-1/-2	419	1e-110	2	380	9e-105	1
XLOC_000412	SpisGene11284	1523	374	81	49	56	0	+2/+1	374	1523	104	58	69	0	-2/-3	127	2e-11	4	137	3e-12	4
XLOC_000413	SpisGene11278	2377	1197	1102	815	922	0	+2/+1	1197	2377	1137	832	947	0	+3/+1	1977	0.0	8	1958	0.0	7
XLOC_000414	SpisGene11277	1115	618	606	539	571	0	+3/+1	618	1115	608	541	573	0	+1/+3	1317	0.0	1	1294	0.0	1
XLOC_000416	SpisGene11276	1183	2192	632	558	581	0	+2/+1	2192	1183	632	558	581	0	+1/+2	1321	0.0	3	1297	0.0	3
XLOC_000417	SpisGene11274	1319	347	314	280	294	0	+2/+3	347	1319	309	277	291	0	+1/+2	657	7e-166	4	647	2e-170	3
XLOC_000418	SpisGene11273	495	312	289	243	261	0	+3/+2	312	495	297	250	266	0	+1/+2	590	8e-148	4	565	1e-140	4
XLOC_000420	SpisGene11272	438	597	333	297	312	0	+1/+1	597	438	323	265	280	0	-2/-3	643	2e-160	5	625	3e-149	6
XLOC_000422	SpisGene11270	694	1149	613	495	531	0	+1/+1	1149	694	615	508	550	0	+1/+1	1176	0.0	5	1195	0.0	5
XLOC_000423	SpisGene11268	1185	983	921	800	859	0	+2/+2	983	1185	938	814	874	0	+2/+2	1783	0.0	3	1673	0.0	2
XLOC_000424	SpisGene21469	995	778	726	624	653	0	-2/-3	778	995	739	668	698	0	+1/+2	1265	0.0	3	1480	0.0	3
XLOC_000425	SpisGene21471	1188	1790	1011	825	888	0	+3/+1	1790	1188	1053	851	921	0	+1/+3	1852	0.0	5	1902	0.0	5
XLOC_000428	SpisGene21474	841	1373	605	560	580	0	+2/+1	1373	841	605	560	580	0	+1/+2	1285	0.0	2	1304	0.0	2
XLOC_000430	SpisGene8994	824	183	186	145	164	0	-1/+1	183	824	186	145	164	0	+1/-1	368	2e-87	3	368	2e-88	3
XLOC_000431	SpisGene11291	1627	291	278	229	248	0	+3/+1	291	1627	263	221	235	0	+1/+3	557	1e-123	6	534	1e-117	6
XLOC_000432	SpisGene11289	1226	1921	762	571	643	0	+1/+1	1921	1226	786	589	667	0	+2/+3	1296	0.0	14	1403	0.0	17
XLOC_000435	SpisGene11286	640	293	274	257	265	0	+2/+1	293	640	275	258	266	0	+1/+2	661	0.0	1	663	0.0	1
XLOC_000436	SpisGene11283	623	734	281	214	240	0	+1/+3	734	623	274	212	240	0	+1/+2	527	2e-161	2	529	3e-161	2
XLOC_000438	SpisGene11282	1045	1741	630	495	551	0	+1/+2	1741	1045	647	504	564	0	+2/+1	1228	0.0	5	1249	0.0	5
XLOC_000440	SpisGene11275	876	488	453	425	441	0	+3/+1	488	876	453	425	441	0	+1/+3	1023	0.0	3	991	0.0	3
XLOC_000441	SpisGene11271	647	542	368	243	289	0	+2/+3	542	647	385	257	302	0	+3/+2	604	2e-121	9	615	7e-125	9
XLOC_000442	SpisGene11269	733	547	514	481	501	0	+1/+3	547	733	516	484	504	0	+3/+1	1125	0.0	2	1109	0.0	1
XLOC_000443	SpisGene11267	345	332	293	256	268	0	+2/+3	332	345	293	256	268	0	+3/+2	621	2e-159	4	621	2e-159	4
XLOC_000444	SpisGene11266	291	295	287	247	264	0	+3/+1	295	291	282	242	259	0	+1/+3	560	2e-159	1	513	2e-145	1
XLOC_000445	SpisGene11262	420	490	201	187	193	0	+1/+2	490	420	200	189	196	0	+3/+2	459	1e-114	3	466	1e-116	3
XLOC_000446	SpisGene21468	1583	975	965	751	810	0	+2/+1	975	1583	948	807	857	0	+1/+2	1650	0.0	2	1886	0.0	3
XLOC_000448	SpisGene21473	1433	1377	1069	757	844	0	-3/-1	1377	1433	1072	773	854	0	-3/-1	1748	0.0	23	1783	0.0	25
XLOC_000465	SpisGene16189	1303	415	343	264	295	0	+3/+2	415	1303	348	266	297	0	+3/+1	660	1e-153	6	661	2e-154	6
XLOC_000466	SpisGene16186	513	395	376	284	313	0	-3/-1	395	513	367	282	310	0	+2/+3	636	8e-147	7	621	5e-157	5
XLOC_000467	SpisGene16185	922	542	520	420	471	0	+3/+1	542	922	503	404	455	0	+1/+3	1061	0.0	2	1026	0.0	3
XLOC_000471	SpisGene16190	2340	959	701	534	586	0	+2/+3	959	2340	670	597	633	0	+1/+1	1269	0.0	10	1460	0.0	11
XLOC_000472	SpisGene16187	1935	304	187	134	151	0	-3/-1	304	1935	194	129	152	0	-2/-1	318	6e-74	3	302	9e-70	3
XLOC_000476	SpisGene6470	679	525	366	177	238	0	+2/+1	525	679	366	177	238	0	+1/+2	395	3e-86	5	403	1e-88	5
XLOC_000477	SpisGene19612	733	816	436	399	413	0	+3/+1	816	733	436	399	413	0	+1/+3	919	0.0	2	919	0.0	2
XLOC_000480	SpisGene8599	398	437	342	272	287	0	-2/-3	437	398	333	263	284	0	+1/+2	601	6e-137	7	649	2e-156	6
XLOC_000483	SpisGene25755.Novel	1103	573	535	441	482	0	+2/+1	573	1103	459	396	428	0	+2/+3	974	0.0	5	956	0.0	4
XLOC_000484	SpisGene8598	1903	361	349	336	342	0	-3/+2	361	1903	355	337	344	0	+2/-3	751	0.0	2	752	0.0	2
XLOC_000490	SpisGene6130	2561	782	782	585	660	0	+3/+1	782	2561	782	585	660	0	+1/+3	1364	0.0	1	1344	0.0	1
XLOC_000500	SpisGene9138	967	490	337	303	324	0	+3/+3	490	967	337	303	324	0	+3/+3	738	0.0	3	706	0.0	3
XLOC_000504	SpisGene19758	1094	973	895	711	779	0	+1/+2	973	1094	888	721	780	0	+1/+3	1698	0.0	10	1740	0.0	12
XLOC_000505	SpisGene9137	482	213	110	90	95	0	+1/-2	213	482	104	88	92	0	+2/-3	224	4e-52	2	208	8e-48	2
XLOC_000514	SpisGene7327	398	339	275	217	236	0	+1/+2	339	398	241	192	208	0	+3/+2	515	3e-133	3	503	2e-135	4
XLOC_000515	SpisGene7330	1336	355	336	283	302	0	+3/+1	355	1336	336	283	302	0	+1/+3	670	6e-172	4	670	1e-172	4
XLOC_000516	SpisGene7336	525	1227	497	446	474	0	+3/+2	1227	525	494	445	473	0	+2/+3	1037	0.0	2	1070	0.0	2
XLOC_000517	SpisGene7339	297	286	245	243	244	0	+3/+2	286	297	268	256	261	0	+2/+3	592	5e-169	1	620	1e-177	1
XLOC_000518	SpisGene7341	2144	717	426	333	369	0	+3/+2	717	2144	417	322	356	0	+2/+1	798	3e-180	8	763	1e-175	7
XLOC_000519	SpisGene7343	1797	878	674	572	604	0	+2/+3	878	1797	653	561	588	0	+3/+2	1324	0.0	8	1316	0.0	9
XLOC_000521	SpisGene7345	733	314	222	137	159	0	+3/+1	314	733	212	147	169	0	+3/+2	346	2e-88	2	379	1e-92	3
XLOC_000522	SpisGene7347	331	314	100	64	78	0	+1/+2	314	331	117	73	91	0	+2/+1	166	2e-29	3	170	9e-31	3
XLOC_000523	SpisGene7350	660	215	213	164	176	0	+1/+3	215	660	213	162	184	0	+1/+2	346	5e-81	3	356	1e-84	3
XLOC_000524	SpisGene7351	352	204	181	161	169	0	+1/+2	204	352	206	175	187	0	+3/+2	415	1e-108	2	446	3e-119	2
XLOC_000527	SpisGene7352	646	1152	517	480	503	0	+3/+1	1152	646	517	480	503	0	+1/+3	1192	0.0	1	1192	0.0	1
XLOC_000529	SpisGene7313	922	1347	827	729	764	0	+2/+3	1347	922	790	714	743	0	+2/+1	1788	0.0	7	1720	0.0	6
XLOC_000531	SpisGene7314	712	782	322	226	256	0	-2/+3	782	712	336	249	280	0	+3/-2	504	8e-130	3	555	5e-145	3
XLOC_000534	SpisGene7328	1095	412	390	298	323	0	-2/+2	412	1095	348	274	297	0	+3/-1	682	1e-171	5	637	1e-152	6
XLOC_000535	SpisGene7329	164	486	156	139	150	0	+2/+2	486	164	156	139	150	0	+2/+2	363	1e-100	1	363	4e-100	1
XLOC_000536	SpisGene7337	1331	986	907	636	723	0	+3/+2	986	1331	886	684	762	0	+2/+1	1438	0.0	9	1648	0.0	9
XLOC_000538	SpisGene7342	453	692	358	347	351	0	+3/+1	692	453	372	356	360	0	+1/+3	782	0.0	1	821	0.0	1
XLOC_000542	SpisGene7349	209	178	152	94	111	0	-2/-1	178	209	153	87	102	0	-1/-2	220	2e-40	4	209	3e-37	4
XLOC_000556	SpisGene7319	2304	478	270	228	242	0	-2/+1	478	2304	270	228	242	0	+1/-2	520	1e-146	1	520	3e-147	1
XLOC_000557	SpisGene7320	1048	592	359	304	328	0	+2/+1	592	1048	357	301	323	0	+2/+3	728	0.0	2	718	0.0	2
XLOC_000558	SpisGene7321	435	412	406	359	383	0	+2/+2	412	435	406	359	383	0	+2/+2	808	0.0	4	808	0.0	4
XLOC_000559	SpisGene7323	1875	630	463	430	440	0	-3/+3	630	1875	477	429	446	0	+3/-3	1049	0.0	6	1040	0.0	6
XLOC_000560	SpisGene7324	774	841	621	500	542	0	+2/+2	841	774	621	500	542	0	+2/+2	1227	0.0	11	1227	0.0	11
XLOC_000562	SpisGene7316	1390	760	676	582	629	0	+3/+2	760	1390	661	493	553	0	-2/-3	1264	0.0	4	1124	0.0	5
XLOC_000563	SpisGene7319	2304	478	270	228	242	0	+2/+1	478	2304	270	228	242	0	+1/+2	520	1e-146	1	520	3e-147	1
XLOC_000565	SpisGene7325	672	765	471	324	366	0	+3/+3	765	672	499	335	387	0	-3/-2	742	2e-173	8	769	1e-175	9
XLOC_000569	SpisGene2597	1966	814	237	198	215	0	+2/+1	814	1966	237	198	215	0	+1/+2	447	1e-124	1	444	5e-124	1
XLOC_000570	SpisGene2603	346	492	235	221	228	0	+2/+3	492	346	235	221	228	0	+3/+2	538	1e-152	1	538	2e-152	1
XLOC_000571	SpisGene2604	987	1009	684	646	662	0	+1/+1	1009	987	684	646	662	0	+1/+1	1524	0.0	1	1524	0.0	1
XLOC_000573	SpisGene8148	1057	285	278	246	263	0	+1/+3	285	1057	278	246	263	0	+3/+1	592	1e-160	2	592	3e-161	2
XLOC_000574	SpisGene8149	1243	232	232	227	230	0	+1/+1	232	1243	232	227	230	0	+1/+1	494	5e-139	1	494	9e-140	1
XLOC_000575	SpisGene8150	1143	893	779	653	688	0	+1/+3	893	1143	767	642	680	0	+3/+1	1596	0.0	10	1558	0.0	10
XLOC_000576	SpisGene8152	1237	396	354	331	340	0	+3/+1	396	1237	354	331	340	0	+1/+3	686	0.0	2	735	0.0	2
XLOC_000577	SpisGene8155	706	1051	661	635	647	0	+1/+3	1051	706	649	624	636	0	+3/+1	1466	0.0	2	1487	0.0	3
XLOC_000578	SpisGene8156	1332	752	223	220	220	0	+3/+3	752	1332	223	220	220	0	+3/+3	527	9e-149	1	527	5e-149	1
XLOC_000579	SpisGene8158	936	460	440	378	398	0	+3/+3	460	936	429	363	387	0	+1/+1	916	0.0	2	890	0.0	2
XLOC_000580	SpisGene2606	1162	1064	963	800	860	0	+1/+1	1064	1162	946	772	829	0	+2/+3	1940	0.0	6	1850	0.0	5
XLOC_000585	SpisGene8153	2356	783	691	511	562	0	+2/+1	783	2356	695	509	561	0	+1/+2	1205	0.0	9	1209	0.0	11
XLOC_000586	SpisGene8157	769	299	159	147	155	0	+1/+1	299	769	159	147	155	0	+1/+1	364	3e-100	1	364	1e-100	1
XLOC_000587	SpisGene25839.Novel	173	717	62	42	44	0	+3/+3	717	173	62	42	44	0	+3/+3	94	1e-19	1	88	1e-16	1
