QUERY	SUBJECT	QUERY_LEN(1)	SUBJECT_LEN(1)	ALN_LEN(1)	IDENTITIES(1)	POSITIVES(1)	GAPS(1)	FRAME(1)	QUERY_LEN(2)	SUBJECT_LEN(2)	ALN_LEN(2)	IDENTITIES(2)	POSITIVES(2)	GAPS(2)	FRAME(2)	SCORE(1)	E-VALUE(1)	FRAGMENTS(1)	SCORE(2)	E-VALUE(2)	FRAGMENTS(2)
SpisGene10090	g69607	385	366	335	205	260	0	+2/+2	366	385	335	205	260	0	+2/+2	544	2e-136	4	544	2e-136	4
SpisGene10093	g33511	562	1235	435	164	251	0	+1/+1	1235	562	403	143	220	0	+1/+1	416	1e-68	8	346	4e-62	6
SpisGene10094	g50873	657	320	262	210	235	0	+1/+1	320	657	267	214	240	0	+1/+1	511	3e-126	4	521	9e-130	4
SpisGene10095	g50874	586	491	435	248	312	0	+3/+3	491	586	404	244	305	0	+3/+3	572	1e-144	4	582	2e-144	4
SpisGene10096	g50875	392	313	195	126	158	0	+1/+1	313	392	195	126	158	0	+1/+1	316	1e-79	2	288	2e-71	2
SpisGene10097	g50878	820	154	128	86	105	0	+1/+1	154	820	127	85	104	0	+1/+1	215	3e-55	1	214	1e-55	1
SpisGene10098	g50880	1328	1468	371	206	278	0	+3/+1	1468	1328	378	209	283	0	+1/+3	532	1e-101	8	512	8e-96	8
SpisGene10099	adi2mcaRNA3995_R0	1333	924	95	46	59	0	+1/+1	924	1333	111	47	64	0	+1/+1	105	6e-14	2	115	1e-10	3
SpisGene1010	g26311	269	393	207	140	171	0	+1/+1	393	269	207	140	171	0	+1/+1	350	1e-89	2	350	1e-89	2
SpisGene10102	g50884	1117	1064	88	49	68	0	+1/+1	1064	1117	88	49	68	0	+1/+1	117	1e-17	2	116	2e-17	2
SpisGene10103	adi2mcaRNA4005_R0	1511	1099	104	65	76	0	+2/+1	1099	1511	143	73	94	0	+1/+2	147	3e-26	2	159	4e-30	2
SpisGene10104	g50890	656	430	70	45	58	0	+1/+1	430	656	70	45	58	0	+1/+1	121	1e-13	3	122	5e-14	3
SpisGene10105	g50891	399	297	288	236	261	0	+1/+3	297	399	288	236	261	0	+3/+1	601	4e-165	2	601	2e-165	2
SpisGene10106	adi2mcaRNA4009_R0	788	280	226	176	194	0	+1/+1	280	788	226	176	194	0	+1/+1	413	7e-97	4	413	2e-97	4
SpisGene10107	g50894	468	332	318	248	275	0	+1/+1	332	468	328	252	283	0	+3/+3	627	6e-167	3	634	3e-169	3
SpisGene10108	g50895	2681	2699	2186	1372	1731	0	+2/+2	2699	2681	2223	1423	1788	0	+1/+1	2987	0.0	20	3026	0.0	23
SpisGene10109	g50896	508	154	126	78	92	0	+1/+1	154	508	126	78	92	0	+1/+1	164	6e-34	2	185	6e-41	2
SpisGene1011	g26312	369	217	202	161	183	0	+2/+1	217	369	202	161	183	0	+1/+2	408	2e-107	2	408	8e-108	2
SpisGene10111	g50898	956	559	498	332	405	0	+2/+1	559	956	498	332	405	0	+1/+2	848	0.0	2	848	0.0	2
SpisGene10112	adi2mcaRNA4024_R0	748	599	535	384	450	0	+1/+3	599	748	577	411	481	0	+3/+1	962	0.0	4	1019	0.0	5
SpisGene10113	g50900	796	710	359	281	317	0	+1/+1	710	796	364	290	327	0	+1/+1	703	0.0	3	702	0.0	2
SpisGene10115	g50901	521	354	276	198	234	0	+1/+1	354	521	335	231	279	0	+1/+1	508	2e-125	4	574	6e-157	2
SpisGene10116	g50902	497	568	456	406	434	0	+1/+1	568	497	456	406	434	0	+1/+1	972	0.0	2	963	0.0	2
SpisGene10117	g21441	1593	767	447	308	363	0	+3/+3	767	1593	482	326	389	0	+1/+1	752	5e-179	6	800	0.0	6
SpisGene10118	g66993	389	374	349	326	343	0	+3/+1	374	389	374	344	363	0	+1/+3	837	0.0	1	874	0.0	1
SpisGene1012	adi2mcaRNA2042_R0	311	314	158	124	142	0	+2/+1	314	311	158	124	142	0	+1/+2	318	1e-74	3	318	8e-75	3
SpisGene10121	g15947	522	215	187	118	150	0	+1/+1	215	522	215	131	165	0	+1/+1	298	6e-74	2	317	2e-86	1
SpisGene10122	adi2mcaRNA4043_R0	811	331	217	174	190	0	+1/+3	331	811	199	161	175	0	+3/+1	456	3e-104	5	426	8e-96	5
SpisGene10124	g64051	883	807	187	123	149	0	+1/+1	807	883	187	123	149	0	+1/+1	330	3e-81	2	327	9e-81	2
SpisGene10125	g64052	407	414	318	256	280	0	+1/+1	414	407	318	256	280	0	+1/+1	664	7e-170	4	664	6e-170	4
SpisGene10126	g24213	818	652	555	295	399	0	+1/+1	652	818	554	295	398	0	+1/+1	772	9e-159	11	771	1e-158	11
SpisGene10135	g48131	445	299	168	84	108	0	+1/+1	299	445	154	87	103	0	+1/+1	250	3e-36	6	248	3e-38	6
SpisGene10136	g48129	8883	5752	4857	2906	3688	0	+2/+2	5752	8883	5016	3031	3867	0	+1/+1	6451	0.0	28	6864	0.0	24
SpisGene10137	g13706	386	264	237	162	195	0	+1/+1	264	386	206	140	171	0	+1/+1	406	1e-106	2	348	7e-96	1
SpisGene10137	g48126	386	264	237	162	195	0	+1/+1	264	386	206	140	171	0	+1/+1	406	1e-106	2	348	7e-96	1
SpisGene10139	g29188	831	576	569	479	528	0	+3/+1	576	831	563	473	522	0	+1/+3	1218	0.0	1	1205	0.0	1
SpisGene1014	g3447	674	367	362	284	320	0	+1/+1	367	674	348	277	310	0	+1/+1	636	2e-175	2	685	0.0	2
SpisGene10140	g7129	961	420	351	213	271	0	+1/+2	420	961	374	224	285	0	+1/+3	481	3e-117	4	476	7e-111	5
SpisGene10141	g7130	710	743	587	506	546	0	+1/+1	743	710	615	525	569	0	+1/+1	1236	0.0	6	1252	0.0	5
SpisGene10144	g66935	616	292	272	226	249	0	+1/+1	292	616	236	204	220	0	+1/+1	561	1e-146	3	510	7e-138	2
SpisGene10145	g66934	454	237	236	219	223	0	+1/+2	237	454	236	219	223	0	+2/+1	538	3e-146	2	538	1e-146	2
SpisGene10146	g66932	281	281	281	264	276	0	+1/+1	281	281	281	264	276	0	+1/+1	651	0.0	1	651	0.0	1
SpisGene10147	g66931	307	310	300	237	266	0	+1/+1	310	307	303	249	273	0	+1/+1	601	1e-157	3	605	2e-159	3
SpisGene10148	g66930	213	209	157	127	137	0	+1/+1	209	213	167	133	144	0	+1/+1	321	1e-81	2	332	5e-85	2
SpisGene10149	g66929	187	120	120	101	113	0	+2/+1	120	187	120	101	113	0	+1/+2	243	2e-64	1	243	2e-64	1
SpisGene1015	g26326	281	386	243	137	179	0	+1/+1	386	281	243	137	179	0	+1/+1	324	7e-82	2	343	2e-87	2
SpisGene10150	g66928	785	402	342	258	297	0	+1/+1	402	785	368	266	307	0	+1/+1	596	8e-152	4	648	1e-161	5
SpisGene10151	g66926	426	399	339	260	291	0	+1/+1	399	426	349	255	290	0	+1/+1	593	3e-159	3	616	6e-158	4
SpisGene10152	g59544	352	318	239	187	224	0	+1/+1	318	352	239	187	224	0	+1/+1	484	2e-136	1	484	1e-136	1
SpisGene10155	g59540	1544	1839	1511	1237	1364	0	+2/+2	1839	1544	1501	1235	1362	0	+3/+3	2785	0.0	8	2841	0.0	8
SpisGene10159	g7128	302	513	303	271	291	0	+1/+1	513	302	303	271	291	0	+1/+1	654	0.0	2	654	0.0	2
SpisGene1016	g26327	649	426	338	210	258	0	+3/+1	426	649	338	210	258	0	+1/+3	480	2e-128	2	485	1e-130	2
SpisGene10160	g29187	778	646	520	372	425	0	+1/+3	646	778	541	355	416	0	+3/+1	919	0.0	8	779	0.0	7
SpisGene10165	g49232	478	550	407	273	321	0	+1/+1	550	478	407	273	321	0	+1/+1	671	5e-180	3	671	5e-180	3
SpisGene10167	g41916	807	1174	524	276	381	0	+1/+1	1174	807	535	284	390	0	+1/+1	713	3e-156	8	684	2e-147	8
SpisGene1017	g26328	469	376	303	218	264	0	+1/+1	376	469	327	216	261	0	+2/+2	548	2e-137	4	489	3e-146	3
SpisGene10170	g34654	517	291	290	234	264	0	+1/+1	291	517	290	234	264	0	+1/+1	551	2e-156	1	574	1e-163	1
SpisGene10171	g34655	425	218	218	139	163	0	+3/+1	218	425	218	139	163	0	+1/+3	358	3e-98	1	358	1e-98	1
SpisGene10172	g34656	329	275	240	185	216	0	+2/+2	275	329	240	185	216	0	+2/+2	459	6e-111	4	456	3e-110	4
SpisGene10173	g34657	1114	544	506	433	473	0	+1/+1	544	1114	506	433	473	0	+1/+1	1092	0.0	3	1092	0.0	3
SpisGene10174	g34665	421	285	285	206	248	0	+1/+1	285	421	285	206	248	0	+1/+1	479	8e-135	1	479	3e-135	1
SpisGene10175	g34666	584	343	296	201	239	0	+3/+1	343	584	296	201	239	0	+1/+3	493	5e-121	4	493	2e-121	4
SpisGene10176	g34668	161	247	144	91	114	0	+1/+1	247	161	144	91	114	0	+1/+1	232	4e-61	1	232	5e-61	1
SpisGene10177	g34669	1131	499	487	442	471	0	+3/+1	499	1131	491	433	460	0	+3/+2	1038	0.0	3	1020	0.0	3
SpisGene1018	g33615	832	571	549	369	452	0	+1/+1	571	832	549	369	452	0	+1/+1	924	0.0	2	924	0.0	2
SpisGene10180	g34692	467	235	215	156	176	0	+1/+1	235	467	191	162	176	0	+3/+3	396	1e-81	6	423	1e-84	7
SpisGene10181	g11061	890	501	481	391	439	0	+3/+1	501	890	481	391	439	0	+1/+3	967	0.0	1	967	0.0	1
SpisGene10181	g34693	890	501	481	391	439	0	+3/+1	501	890	481	391	439	0	+1/+3	967	0.0	1	967	0.0	1
SpisGene10184	g34694	750	624	608	465	535	0	+3/+1	624	750	599	461	529	0	+1/+3	1067	0.0	3	1058	0.0	3
SpisGene10185	g11057	592	482	482	350	423	0	+1/+1	482	592	482	350	423	0	+1/+1	891	0.0	1	891	0.0	1
SpisGene10187	g2567	317	289	185	168	173	0	+1/+1	289	317	185	168	173	0	+1/+1	402	6e-112	1	402	4e-112	1
SpisGene1019	g66626	316	122	88	63	72	0	+1/+1	122	316	74	57	62	0	+1/+1	159	1e-38	1	145	4e-35	1
SpisGene10192	g35595	218	216	178	157	166	0	+1/+1	216	218	133	127	130	0	+1/+1	368	3e-84	4	295	3e-67	3
SpisGene10193	g69867	457	241	242	186	207	0	+1/+1	241	457	242	186	207	0	+1/+1	420	7e-111	2	390	3e-102	2
SpisGene10194	g69866	865	520	379	257	315	0	+2/+3	520	865	338	240	292	0	+1/+3	621	5e-149	5	595	7e-148	4
SpisGene10195	adi2mcaRNA19552_R0	293	249	228	161	192	0	+1/+1	249	293	202	145	174	0	+1/+1	350	3e-89	2	326	4e-82	2
SpisGene10195	adi2mcaRNA19552_R1	293	249	228	161	192	0	+1/+1	249	293	202	145	174	0	+1/+1	350	3e-89	2	325	5e-82	2
SpisGene10196	g35590	760	674	357	241	282	0	+2/+2	674	760	348	250	287	0	+1/+1	603	9e-130	7	628	9e-145	6
SpisGene10197	adi2mcaRNA19555_R1	1412	633	556	423	480	0	+3/+1	633	1412	609	450	512	0	+2/+1	1077	0.0	7	1132	0.0	8
SpisGene10198	g35588	379	304	280	225	246	0	+2/+1	304	379	280	225	246	0	+1/+2	553	4e-157	1	553	2e-157	1
SpisGene10199	adi2mcaRNA19558_R0	642	690	380	302	348	0	+1/+3	690	642	377	302	347	0	+3/+1	769	0.0	4	769	0.0	4
SpisGene102	g19170	663	265	254	140	181	0	+1/+1	265	663	254	140	181	0	+1/+1	366	2e-94	2	366	5e-95	2
SpisGene1020	g33618	305	177	135	97	111	0	+1/+1	177	305	135	97	111	0	+1/+1	254	2e-55	3	252	2e-55	3
SpisGene10200	g5472	886	394	256	158	190	0	+3/+1	394	886	260	160	193	0	+1/+3	421	6e-117	1	427	3e-119	1
SpisGene10202	g3519	459	381	229	150	181	0	+1/+3	381	459	215	141	173	0	+1/+2	369	8e-82	4	377	2e-84	4
SpisGene10204	g28560	1462	843	452	391	411	0	+3/+3	843	1462	443	381	400	0	-1/-1	885	0.0	2	899	0.0	2
SpisGene10205	adi2mcaRNA10172_R3	1011	1180	674	482	559	0	+1/+1	1180	1011	712	504	584	0	+1/+1	1173	0.0	7	1217	0.0	6
SpisGene10207	g65199	533	349	304	222	247	0	+1/+1	349	533	305	223	248	0	+1/+1	499	3e-128	3	528	1e-137	3
SpisGene1021	g33621	1054	710	628	542	576	0	+2/+3	710	1054	585	505	537	0	+3/+2	1211	0.0	3	1152	0.0	5
SpisGene10214	g36876	1027	588	500	411	447	0	+2/+2	588	1027	500	411	447	0	+2/+2	989	0.0	2	996	0.0	2
SpisGene10215	g48405	1074	473	357	192	246	0	+3/+3	473	1074	357	192	246	0	+3/+3	468	1e-106	6	433	2e-99	6
SpisGene10219	adi2mcaRNA13536_R8	2587	1040	387	241	289	0	+1/+1	1040	2587	303	213	248	0	+1/+1	643	1e-144	6	580	1e-140	4
SpisGene10221	adi2mcaRNA19725_R7	2905	2318	855	429	564	0	+1/+1	2318	2905	918	446	597	0	+1/+1	1051	0.0	14	1083	0.0	15
SpisGene10222	g56134	2903	2391	858	435	574	0	+2/+2	2391	2903	856	433	577	0	+1/+1	1042	0.0	13	1056	0.0	12
SpisGene10226	g21916	605	1572	554	313	421	0	+1/+1	1572	605	541	309	413	0	+1/+1	779	0.0	5	780	0.0	4
SpisGene10229	g61623	1584	1149	364	239	284	0	+1/+1	1149	1584	397	249	299	0	+1/+1	639	3e-144	6	651	4e-148	6
SpisGene10230	g49461	159	3176	101	53	62	0	-1/-1	3176	159	102	60	72	0	-2/-2	177	2e-09	7	219	6e-10	9
SpisGene10238	adi2mcaRNA38239_R0	664	860	494	321	397	0	+2/+1	860	664	499	325	401	0	+1/+2	766	0.0	3	811	0.0	3
SpisGene10239	g54427	316	310	164	135	152	0	+1/+1	310	316	164	135	152	0	+1/+1	346	8e-89	2	346	6e-89	2
SpisGene10239	g5753	316	310	164	134	152	0	+1/+1	310	316	164	134	152	0	+1/+1	346	2e-88	2	346	2e-88	2
SpisGene10240	g49850	357	319	312	202	245	0	+1/+1	319	357	300	201	241	0	+1/+1	507	7e-137	2	505	9e-137	2
SpisGene10243	g68551	507	570	501	396	445	0	+1/+1	570	507	501	396	445	0	+1/+1	986	0.0	2	986	0.0	2
SpisGene10244	adi2mcaRNA38234_R3	559	511	371	224	277	0	+1/+3	511	559	384	236	289	0	+1/+1	549	1e-137	4	608	9e-150	5
SpisGene10245	g28237	1453	920	795	633	708	0	+1/+1	920	1453	772	595	672	0	+1/+1	1465	0.0	7	1369	0.0	9
SpisGene10246	g28238	900	396	340	225	272	0	+2/+2	396	900	338	230	276	0	+2/+2	577	4e-135	6	566	8e-132	6
SpisGene10247	g28240	3189	2957	2882	2427	2627	0	+3/+3	2957	3189	2940	2450	2656	0	+3/+3	5922	0.0	9	5839	0.0	7
SpisGene10248	g28241	1161	1253	1081	871	948	0	+1/+1	1253	1161	1085	883	964	0	+1/+1	2112	0.0	11	2149	0.0	11
SpisGene10249	g22340	395	279	229	145	168	0	+1/+1	279	395	229	138	166	0	+1/+1	322	1e-75	3	344	2e-82	3
SpisGene10250	g28243	758	619	588	466	530	0	+2/+1	619	758	591	468	533	0	+1/+2	1098	0.0	3	1070	0.0	3
SpisGene10251	g28245	858	848	631	584	607	0	+1/+1	848	858	631	584	607	0	+1/+1	1366	0.0	7	1330	0.0	7
SpisGene10253	g28248	1273	1099	1035	753	882	0	+3/+1	1099	1273	1009	734	858	0	+2/+1	1853	0.0	11	1835	0.0	11
SpisGene10254	g28247	324	165	165	145	153	0	+2/+1	165	324	165	145	153	0	+1/+2	364	2e-100	1	363	1e-100	1
SpisGene10255	g28246	1456	1641	1308	918	1088	0	+3/+3	1641	1456	1353	953	1129	0	+3/+3	2123	0.0	11	2282	0.0	13
SpisGene10256	g28251	997	724	697	527	599	0	+3/+1	724	997	699	529	601	0	+1/+3	1258	0.0	4	1211	0.0	4
SpisGene10259	adi2mcaRNA15158_R0	637	612	249	117	168	0	+1/+1	612	637	265	124	179	0	+1/+1	301	9e-49	6	317	2e-53	6
SpisGene10260	g28291	1368	798	759	574	656	0	+1/+1	798	1368	759	574	656	0	+1/+1	1387	0.0	4	1406	0.0	4
SpisGene10263	g28292	368	222	215	141	155	0	+1/+1	222	368	215	141	155	0	+1/+1	322	1e-87	1	322	6e-88	1
SpisGene10264	g29186	975	577	557	514	535	0	+2/+1	577	975	557	514	535	0	+1/+2	1220	0.0	3	1220	0.0	3
SpisGene10265	adi2mcaRNA15103_R1	905	562	539	439	480	0	+2/+1	562	905	510	417	455	0	+1/+2	1048	0.0	5	1041	0.0	6
SpisGene10266	g4899	676	489	338	301	324	0	+1/+1	489	676	341	302	325	0	+1/+1	738	0.0	4	739	0.0	4
SpisGene10267	g4900	952	905	716	633	673	0	+2/+1	905	952	759	665	711	0	+1/+2	1552	0.0	4	1583	0.0	2
SpisGene10268	g29178	2217	2522	1952	1249	1533	0	+1/+1	2522	2217	2033	1287	1576	0	+1/+1	3236	0.0	15	3308	0.0	16
SpisGene10269	g28272	168	167	166	139	151	0	+1/+1	167	168	166	139	151	0	+1/+1	283	2e-76	1	284	1e-76	1
SpisGene10270	g28273	938	628	417	258	338	0	+3/+1	628	938	415	259	334	0	+1/+3	659	1e-141	8	646	2e-143	7
SpisGene10271	g28274	371	178	131	121	122	0	+1/+1	178	371	154	127	132	0	+1/+1	272	8e-61	3	310	1e-72	3
SpisGene10272	g28275	392	368	339	246	294	0	+1/+1	368	392	345	250	299	0	+1/+1	609	1e-167	2	620	6e-171	2
SpisGene10273	g28276	940	790	705	594	647	0	+1/+1	790	940	705	594	647	0	+1/+1	1446	0.0	3	1449	0.0	3
SpisGene10276	g58511	256	255	244	177	212	0	+1/+1	255	256	244	177	212	0	+1/+1	457	5e-122	2	457	4e-122	2
SpisGene10277	g58512	282	286	180	130	161	0	+1/+1	286	282	195	137	173	0	+1/+1	334	3e-91	1	357	3e-91	2
SpisGene10278	adi2mcaRNA15625_R0	1930	1177	790	518	637	0	+1/+1	1177	1930	740	507	615	0	+1/+1	1187	0.0	8	1220	0.0	7
SpisGene10280	g58516	410	394	265	192	224	0	+1/+1	394	410	231	181	204	0	+1/+1	481	4e-123	3	464	4e-116	3
SpisGene10284	g16081	317	402	219	173	192	0	+1/+1	402	317	221	174	194	0	+1/+1	393	6e-97	3	365	9e-89	3
SpisGene10284	g58517	317	402	219	173	192	0	+1/+1	402	317	221	174	194	0	+1/+1	393	6e-97	3	365	9e-89	3
SpisGene10288	g16085	1262	332	325	214	263	0	+1/+1	332	1262	325	214	263	0	+1/+1	531	1e-143	2	531	2e-144	2
SpisGene10288	g58520	1262	332	325	214	263	0	+1/+1	332	1262	325	214	263	0	+1/+1	531	1e-143	2	531	2e-144	2
SpisGene10289	g32435	254	241	233	149	187	0	+1/+1	241	254	233	149	187	0	+1/+1	390	3e-108	1	390	2e-108	1
SpisGene1029	g22609	291	202	182	136	155	0	+1/+1	202	291	182	136	155	0	+1/+1	320	2e-75	3	320	1e-75	3
SpisGene10290	g46213	670	547	525	496	518	0	+3/+1	547	670	545	515	538	0	+1/+3	1143	0.0	2	1181	0.0	1
SpisGene10292	g46214	420	468	367	292	331	0	+1/+1	468	420	384	302	342	0	+1/+1	717	4e-179	5	732	0.0	4
SpisGene10293	g1460	907	656	444	367	398	0	+2/+2	656	907	444	367	398	0	+2/+2	855	0.0	6	878	0.0	6
SpisGene10295	g60236	525	525	451	303	371	0	+1/+1	525	525	451	303	371	0	+1/+1	722	0.0	3	745	0.0	3
SpisGene10318	g50697	424	254	202	102	142	0	+1/+1	254	424	202	102	142	0	+1/+1	253	1e-60	2	238	2e-56	2
SpisGene10326	g4766	397	249	224	155	179	0	+1/+2	249	397	227	158	182	0	+2/+1	399	1e-98	3	373	7e-97	2
SpisGene10327	g4765	188	184	157	145	155	0	+1/+1	184	188	157	145	155	0	+1/+1	315	5e-86	1	315	4e-86	1
